tracking_number,package_type,carrier,weight_kg,length_cm,width_cm,height_cm,volume_cm3,origin_city,origin_state,origin_zip,destination_city,destination_state,destination_zip,current_status,estimated_delivery,actual_delivery,special_handling,insurance_value,signature_required,description
DHL490857068,Express,DHL,13.7,53.83,21.35,63.92,73461.37,person person,Montana,46751,person personperson,Colorado,72659,PackageStatus.IN_TRANSIT,2025-05-05 15:41:51,,False,,False,"Express package weighing 13.7kg, dimensions: 53.83x21.35x63.92cm, volume: 73461.37cm³"
Fed973748215,Fragile,FedEx,48.06,59.65,10.57,11.6,7313.81,personperson,Virginia,31701,personperson,Maryland,69585,PackageStatus.DELIVERED,2025-05-07 15:19:13,,True,,False,"Fragile package weighing 48.06kg, dimensions: 59.65x10.57x11.6cm, volume: 7313.81cm³"
USP45351876,International,USPS,4.05,60.49,81.97,63.96,317137.04,person personperson,Florida,70453,person personperson,Louisiana,19515,PackageStatus.DELIVERED,2025-05-05 18:12:51,,False,,True,"International package weighing 4.05kg, dimensions: 60.49x81.97x63.96cm, volume: 317137.04cm³"
Fed822197483,International,FedEx,13.86,52.25,87.94,79.89,367083.76,personperson,New York,64375,person person,Rhode Island,70112,PackageStatus.DELIVERED,2025-05-15 05:53:51,,False,,False,"International package weighing 13.86kg, dimensions: 52.25x87.94x79.89cm, volume: 367083.76cm³"
DHL995209358,Overnight,DHL,23.21,78.42,30.16,7.98,18873.87,person personperson,Iowa,40327,personperson,Iowa,74577,PackageStatus.IN_TRANSIT,2025-05-07 13:46:39,,False,319.13,True,"Overnight package weighing 23.21kg, dimensions: 78.42x30.16x7.98cm, volume: 18873.87cm³"
USP584276477,Priority,USPS,44.8,14.47,9.9,50.07,7172.68,personperson,Montana,52184,personperson,Nebraska,27539,PackageStatus.OUT_FOR_DELIVERY,2025-05-14 00:29:52,,False,,False,"Priority package weighing 44.8kg, dimensions: 14.47x9.9x50.07cm, volume: 7172.68cm³"
DHL988304330,Standard,DHL,48.74,60.05,14.31,81.64,70154.52,personperson,Nevada,94210,personperson,Idaho,01451,PackageStatus.DELIVERED,2025-05-12 23:39:25,,False,3424.89,True,"Standard package weighing 48.74kg, dimensions: 60.05x14.31x81.64cm, volume: 70154.52cm³"
USP582286445,Standard,USPS,21.44,20.05,72.49,33.42,48573.45,personperson,Hawaii,97833,person person,Maryland,15785,PackageStatus.DELIVERED,2025-05-04 16:41:27,,False,4237.53,True,"Standard package weighing 21.44kg, dimensions: 20.05x72.49x33.42cm, volume: 48573.45cm³"
DHL198920662,Fragile,DHL,15.56,35.83,97.18,65.74,228904.01,person personperson,Oklahoma,98945,person personperson,Indiana,91227,PackageStatus.DELIVERED,2025-05-16 06:14:21,,True,,False,"Fragile package weighing 15.56kg, dimensions: 35.83x97.18x65.74cm, volume: 228904.01cm³"
Fed812794519,Refrigerated,FedEx,21.29,87.86,61.65,98.18,531798.74,person personperson,Alabama,14212,personperson,South Carolina,94908,PackageStatus.IN_TRANSIT,2025-05-16 20:41:25,,True,,False,"Refrigerated package weighing 21.29kg, dimensions: 87.86x61.65x98.18cm, volume: 531798.74cm³"
Ama56976496,Refrigerated,Amazon Logistics,22.52,53.61,40.37,43.34,93797.98,person personperson,Michigan,22212,personperson,Wisconsin,18820,PackageStatus.IN_TRANSIT,2025-05-14 05:40:21,,True,1045.21,False,"Refrigerated package weighing 22.52kg, dimensions: 53.61x40.37x43.34cm, volume: 93797.98cm³"
Fed850022851,Hazardous Materials,FedEx,14.62,99.06,20.89,68.91,142599.83,personperson,West Virginia,80963,personperson,Kentucky,48431,PackageStatus.RETURNED,2025-05-01 11:34:35,,True,,True,"Hazardous Materials package weighing 14.62kg, dimensions: 99.06x20.89x68.91cm, volume: 142599.83cm³"
Ama279145576,Refrigerated,Amazon Logistics,48.14,8.45,61.47,15.53,8066.62,personperson,Arkansas,12506,personperson,Wisconsin,32717,PackageStatus.DELIVERED,2025-05-08 15:19:10,,True,661.24,True,"Refrigerated package weighing 48.14kg, dimensions: 8.45x61.47x15.53cm, volume: 8066.62cm³"
Fed62516314,Refrigerated,FedEx,13.29,46.6,63.11,52.58,154633.89,person person,North Carolina,92178,personperson,Arkansas,52744,PackageStatus.IN_TRANSIT,2025-05-10 13:51:09,,True,3981.65,False,"Refrigerated package weighing 13.29kg, dimensions: 46.6x63.11x52.58cm, volume: 154633.89cm³"
DHL970643140,Hazardous Materials,DHL,15.74,19.57,36.62,16.45,11788.95,person personperson,Alabama,21055,person personperson,Alabama,51976,PackageStatus.DELIVERED,2025-05-04 16:31:52,,True,,True,"Hazardous Materials package weighing 15.74kg, dimensions: 19.57x36.62x16.45cm, volume: 11788.95cm³"
Fed946640032,Refrigerated,FedEx,26.38,77.89,47.27,54.6,201029.57,person personperson,Mississippi,30272,personperson,Florida,70597,PackageStatus.IN_TRANSIT,2025-05-13 20:52:15,,True,,True,"Refrigerated package weighing 26.38kg, dimensions: 77.89x47.27x54.6cm, volume: 201029.57cm³"
DHL393212313,International,DHL,47.2,13.53,86.54,48.15,56378.17,person person,Texas,56700,personperson,Virginia,97683,PackageStatus.DELIVERED,2025-05-02 16:54:58,,False,,False,"International package weighing 47.2kg, dimensions: 13.53x86.54x48.15cm, volume: 56378.17cm³"
UPS50996056,International,UPS,16.53,13.24,85.84,37.54,42665.02,personperson,Wisconsin,51193,personperson,Maryland,58116,PackageStatus.DELIVERED,2025-05-11 06:35:40,,False,,True,"International package weighing 16.53kg, dimensions: 13.24x85.84x37.54cm, volume: 42665.02cm³"
Ama805205982,Overnight,Amazon Logistics,22.43,84.02,43.84,97.09,357624.88,person personperson,New Hampshire,02108,person personperson,Kentucky,72853,PackageStatus.IN_TRANSIT,2025-05-12 21:35:44,,False,,True,"Overnight package weighing 22.43kg, dimensions: 84.02x43.84x97.09cm, volume: 357624.88cm³"
USP331672231,Overnight,USPS,6.55,13.69,23.44,53.93,17305.79,person personperson,West Virginia,90675,personperson,Nebraska,11699,PackageStatus.IN_TRANSIT,2025-05-11 22:04:13,,False,,True,"Overnight package weighing 6.55kg, dimensions: 13.69x23.44x53.93cm, volume: 17305.79cm³"
Fed197900022,Express,FedEx,15.93,9.32,5.79,13.94,752.24,person personperson,Massachusetts,40115,personperson,West Virginia,83510,PackageStatus.IN_TRANSIT,2025-05-02 09:56:08,,False,,False,"Express package weighing 15.93kg, dimensions: 9.32x5.79x13.94cm, volume: 752.24cm³"
UPS617206982,Hazardous Materials,UPS,13.11,78.55,85.32,88.33,591977.59,personperson,Vermont,52509,personperson,Arkansas,96025,PackageStatus.DELIVERED,2025-05-16 14:40:48,,True,1033.33,False,"Hazardous Materials package weighing 13.11kg, dimensions: 78.55x85.32x88.33cm, volume: 591977.59cm³"
DHL336011019,Refrigerated,DHL,49.24,41.36,87.97,34.59,125853.61,personperson,South Carolina,01427,personperson,New Mexico,92620,PackageStatus.DELIVERED,2025-05-03 14:04:55,,True,,False,"Refrigerated package weighing 49.24kg, dimensions: 41.36x87.97x34.59cm, volume: 125853.61cm³"
DHL469365776,Priority,DHL,29.32,22.67,8.3,50.21,9447.56,person person,Oklahoma,51856,person person,Kentucky,89368,PackageStatus.IN_TRANSIT,2025-05-07 16:55:00,,False,3557.69,False,"Priority package weighing 29.32kg, dimensions: 22.67x8.3x50.21cm, volume: 9447.56cm³"
USP837390199,Fragile,USPS,27.8,43.66,45.82,46.29,92603.2,personperson,Oregon,79939,person person,Oklahoma,94984,PackageStatus.OUT_FOR_DELIVERY,2025-05-02 03:25:55,,True,,False,"Fragile package weighing 27.8kg, dimensions: 43.66x45.82x46.29cm, volume: 92603.2cm³"
USP350546805,Fragile,USPS,25.83,87.87,60.1,71.63,378277.1,person personperson,Illinois,54435,person personperson,Colorado,27719,PackageStatus.DELIVERED,2025-05-08 01:30:23,,True,,False,"Fragile package weighing 25.83kg, dimensions: 87.87x60.1x71.63cm, volume: 378277.1cm³"
Fed461146572,Express,FedEx,41.22,7.8,72.83,60.99,34646.83,personperson,Wyoming,09955,personperson,Mississippi,62187,PackageStatus.OUT_FOR_DELIVERY,2025-05-15 05:35:14,,False,,True,"Express package weighing 41.22kg, dimensions: 7.8x72.83x60.99cm, volume: 34646.83cm³"
USP356114380,International,USPS,23.12,52.17,28.53,89.48,133182.94,personperson,Mississippi,55290,personperson,Kentucky,50896,PackageStatus.DELIVERED,2025-05-12 07:48:19,,False,4753.33,False,"International package weighing 23.12kg, dimensions: 52.17x28.53x89.48cm, volume: 133182.94cm³"
Fed362422,Hazardous Materials,FedEx,20.69,84.32,33.84,85.78,244763.69,personperson,Oklahoma,19548,personperson,Alaska,73800,PackageStatus.DELIVERED,2025-05-12 20:57:37,,True,4625.1,True,"Hazardous Materials package weighing 20.69kg, dimensions: 84.32x33.84x85.78cm, volume: 244763.69cm³"
USP650114031,Express,USPS,44.97,89.9,84.65,68.5,521287.4,personperson,Maryland,34574,person person,Tennessee,62606,PackageStatus.DELIVERED,2025-05-04 00:29:26,,False,,False,"Express package weighing 44.97kg, dimensions: 89.9x84.65x68.5cm, volume: 521287.4cm³"
USP171925774,Fragile,USPS,36.79,87.69,73.34,34.89,224384.03,person person,Alabama,67525,person person,Delaware,42858,PackageStatus.DELIVERED,2025-05-08 04:58:13,,True,,False,"Fragile package weighing 36.79kg, dimensions: 87.69x73.34x34.89cm, volume: 224384.03cm³"
UPS689072869,Overnight,UPS,26.17,52.02,55.68,6.53,18913.97,person person,New York,65293,person person,Indiana,12996,PackageStatus.IN_TRANSIT,2025-05-10 12:19:10,,False,4739.15,True,"Overnight package weighing 26.17kg, dimensions: 52.02x55.68x6.53cm, volume: 18913.97cm³"
UPS709447407,Priority,UPS,9.46,83.26,8.4,43.57,30472.16,personperson,New York,65238,personperson,Maryland,49401,PackageStatus.OUT_FOR_DELIVERY,2025-05-01 18:03:45,,False,1256.14,False,"Priority package weighing 9.46kg, dimensions: 83.26x8.4x43.57cm, volume: 30472.16cm³"
Ama400383919,Standard,Amazon Logistics,5.06,89.78,27.0,39.94,96816.96,person personperson,South Dakota,57171,personperson,New Jersey,89566,PackageStatus.DELIVERED,2025-05-12 06:58:19,,False,,True,"Standard package weighing 5.06kg, dimensions: 89.78x27.0x39.94cm, volume: 96816.96cm³"
DHL397043977,Standard,DHL,39.47,90.47,34.37,13.5,41977.63,personperson,New Jersey,57197,person personperson,Vermont,90966,PackageStatus.OUT_FOR_DELIVERY,2025-05-14 18:54:52,,False,1301.53,False,"Standard package weighing 39.47kg, dimensions: 90.47x34.37x13.5cm, volume: 41977.63cm³"
Fed929486563,Priority,FedEx,41.2,81.45,74.41,6.9,41818.79,personperson,Idaho,39167,person personperson,Delaware,58724,PackageStatus.OUT_FOR_DELIVERY,2025-05-04 03:45:26,,False,,False,"Priority package weighing 41.2kg, dimensions: 81.45x74.41x6.9cm, volume: 41818.79cm³"
Ama52878685,Express,Amazon Logistics,4.37,56.97,65.92,68.21,256160.09,personperson,New Hampshire,31176,person personperson,Washington,85679,PackageStatus.IN_TRANSIT,2025-05-13 13:41:33,,False,,False,"Express package weighing 4.37kg, dimensions: 56.97x65.92x68.21cm, volume: 256160.09cm³"
DHL403867153,Priority,DHL,21.31,39.42,74.73,6.69,19707.78,personperson,Indiana,76814,person personperson,Maryland,67980,PackageStatus.IN_TRANSIT,2025-05-06 15:44:32,,False,,False,"Priority package weighing 21.31kg, dimensions: 39.42x74.73x6.69cm, volume: 19707.78cm³"
USP327212656,Standard,USPS,40.8,45.76,15.58,96.76,68984.15,personperson,Arkansas,27990,person personperson,New Mexico,98665,PackageStatus.OUT_FOR_DELIVERY,2025-05-01 16:48:45,,False,,False,"Standard package weighing 40.8kg, dimensions: 45.76x15.58x96.76cm, volume: 68984.15cm³"
USP409230069,Overnight,USPS,48.9,73.68,10.97,13.66,11040.96,personperson,Texas,47221,person person,Arkansas,41449,PackageStatus.IN_TRANSIT,2025-05-05 11:42:24,,False,,False,"Overnight package weighing 48.9kg, dimensions: 73.68x10.97x13.66cm, volume: 11040.96cm³"
DHL471230475,Overnight,DHL,44.09,35.56,19.22,34.33,23463.29,person person,Oregon,34144,person personperson,New Hampshire,34888,PackageStatus.IN_TRANSIT,2025-05-11 13:04:01,,False,4875.36,True,"Overnight package weighing 44.09kg, dimensions: 35.56x19.22x34.33cm, volume: 23463.29cm³"
DHL814922279,Overnight,DHL,15.88,5.96,47.2,88.88,25003.01,personperson,Colorado,14194,person person,Indiana,33920,PackageStatus.IN_TRANSIT,2025-05-17 00:52:20,,False,,False,"Overnight package weighing 15.88kg, dimensions: 5.96x47.2x88.88cm, volume: 25003.01cm³"
USP880601778,Fragile,USPS,48.12,55.47,50.08,29.52,82004.72,personperson,New Hampshire,31847,personperson,Utah,47190,PackageStatus.OUT_FOR_DELIVERY,2025-05-05 01:17:14,,True,,True,"Fragile package weighing 48.12kg, dimensions: 55.47x50.08x29.52cm, volume: 82004.72cm³"
DHL108580202,Hazardous Materials,DHL,16.02,66.22,30.35,14.55,29242.26,personperson,Illinois,34954,personperson,Texas,29602,PackageStatus.DELIVERED,2025-05-04 07:20:10,,True,2532.91,True,"Hazardous Materials package weighing 16.02kg, dimensions: 66.22x30.35x14.55cm, volume: 29242.26cm³"
Ama517446127,Hazardous Materials,Amazon Logistics,4.76,93.18,47.7,36.6,162675.51,personperson,Arizona,33117,personperson,Pennsylvania,68566,PackageStatus.OUT_FOR_DELIVERY,2025-05-04 22:34:20,,True,,False,"Hazardous Materials package weighing 4.76kg, dimensions: 93.18x47.7x36.6cm, volume: 162675.51cm³"
Ama467292736,International,Amazon Logistics,5.6,75.99,39.29,89.18,266260.01,personperson,Hawaii,56448,person personperson,New York,37627,PackageStatus.RETURNED,2025-05-15 22:39:24,,False,,True,"International package weighing 5.6kg, dimensions: 75.99x39.29x89.18cm, volume: 266260.01cm³"
DHL103497959,Priority,DHL,30.78,7.77,67.94,99.44,52493.76,person person,West Virginia,12295,person personperson,Ohio,48753,PackageStatus.IN_TRANSIT,2025-05-14 07:14:51,,False,4407.25,True,"Priority package weighing 30.78kg, dimensions: 7.77x67.94x99.44cm, volume: 52493.76cm³"
DHL14209526,Overnight,DHL,22.73,44.06,44.81,32.81,64777.72,person personperson,New Jersey,96315,person person,Nevada,34509,PackageStatus.PROCESSING,2025-05-06 17:12:25,,False,4739.66,False,"Overnight package weighing 22.73kg, dimensions: 44.06x44.81x32.81cm, volume: 64777.72cm³"
Ama354416465,Standard,Amazon Logistics,34.44,53.69,31.7,63.16,107496.61,personperson,Nevada,57995,personperson,Louisiana,70249,PackageStatus.DELIVERED,2025-05-01 11:06:37,,False,1210.36,False,"Standard package weighing 34.44kg, dimensions: 53.69x31.7x63.16cm, volume: 107496.61cm³"
UPS515725243,Refrigerated,UPS,24.82,37.16,58.26,23.49,50854.48,personperson,Oklahoma,09842,personperson,Arkansas,24179,PackageStatus.OUT_FOR_DELIVERY,2025-05-11 14:12:31,,True,,True,"Refrigerated package weighing 24.82kg, dimensions: 37.16x58.26x23.49cm, volume: 50854.48cm³"
UPS543992606,Standard,UPS,46.59,98.11,33.49,40.59,133366.72,personperson,Hawaii,87767,person personperson,Washington,46257,PackageStatus.DELIVERED,2025-05-07 06:18:19,,False,,False,"Standard package weighing 46.59kg, dimensions: 98.11x33.49x40.59cm, volume: 133366.72cm³"
USP280070204,Overnight,USPS,6.44,48.32,51.59,67.86,169163.36,personperson,North Carolina,19826,person personperson,New Hampshire,33104,PackageStatus.PROCESSING,2025-05-03 22:09:56,,False,,False,"Overnight package weighing 6.44kg, dimensions: 48.32x51.59x67.86cm, volume: 169163.36cm³"
DHL797728613,Overnight,DHL,38.84,19.65,69.16,97.62,132664.99,personperson,Oregon,46140,person person,Oklahoma,21468,PackageStatus.PROCESSING,2025-05-05 06:06:35,,False,,False,"Overnight package weighing 38.84kg, dimensions: 19.65x69.16x97.62cm, volume: 132664.99cm³"
DHL617900067,Fragile,DHL,24.09,21.15,35.1,22.69,16844.26,personperson,Rhode Island,23246,personperson,Arizona,95479,PackageStatus.OUT_FOR_DELIVERY,2025-05-06 06:25:18,,True,2587.57,False,"Fragile package weighing 24.09kg, dimensions: 21.15x35.1x22.69cm, volume: 16844.26cm³"
Ama386726444,Express,Amazon Logistics,11.6,17.57,91.63,14.51,23360.22,personperson,Pennsylvania,64793,person personperson,New York,64311,PackageStatus.IN_TRANSIT,2025-05-05 10:42:55,,False,3995.21,True,"Express package weighing 11.6kg, dimensions: 17.57x91.63x14.51cm, volume: 23360.22cm³"
Fed219135281,Overnight,FedEx,34.27,75.68,90.61,19.1,130975.67,person personperson,Colorado,60328,personperson,Pennsylvania,19286,PackageStatus.IN_TRANSIT,2025-05-03 09:07:07,,False,,True,"Overnight package weighing 34.27kg, dimensions: 75.68x90.61x19.1cm, volume: 130975.67cm³"
UPS841931323,Overnight,UPS,45.65,85.4,98.52,23.65,198981.83,personperson,Arkansas,10884,personperson,Idaho,82901,PackageStatus.PROCESSING,2025-05-16 06:24:20,,False,1231.93,False,"Overnight package weighing 45.65kg, dimensions: 85.4x98.52x23.65cm, volume: 198981.83cm³"
UPS855928514,Priority,UPS,28.89,74.48,17.11,62.47,79608.82,person person,Iowa,94636,personperson,Michigan,71550,PackageStatus.IN_TRANSIT,2025-05-07 17:34:56,,False,,False,"Priority package weighing 28.89kg, dimensions: 74.48x17.11x62.47cm, volume: 79608.82cm³"
USP559606552,Overnight,USPS,39.86,58.98,17.21,54.82,55644.81,personperson,Kansas,24601,person personperson,South Carolina,03962,PackageStatus.PROCESSING,2025-05-05 00:45:49,,False,,True,"Overnight package weighing 39.86kg, dimensions: 58.98x17.21x54.82cm, volume: 55644.81cm³"
Fed281556363,Priority,FedEx,17.2,29.77,32.39,44.54,42947.71,person personperson,Florida,87327,personperson,North Dakota,32816,PackageStatus.IN_TRANSIT,2025-05-12 12:29:15,,False,,False,"Priority package weighing 17.2kg, dimensions: 29.77x32.39x44.54cm, volume: 42947.71cm³"
Ama65918251,Priority,Amazon Logistics,49.22,69.72,83.39,96.58,561511.37,personperson,New Jersey,01170,person person,Tennessee,92367,PackageStatus.IN_TRANSIT,2025-05-01 06:12:26,,False,,True,"Priority package weighing 49.22kg, dimensions: 69.72x83.39x96.58cm, volume: 561511.37cm³"
DHL661264788,Express,DHL,1.28,63.22,57.88,57.97,212122.29,person person,Ohio,85671,personperson,North Dakota,40908,PackageStatus.DELIVERED,2025-05-06 14:28:20,,False,3811.52,True,"Express package weighing 1.28kg, dimensions: 63.22x57.88x57.97cm, volume: 212122.29cm³"
Ama154261367,Hazardous Materials,Amazon Logistics,7.31,68.2,29.43,33.9,68041.57,personperson,Alaska,03971,person person,Delaware,52455,PackageStatus.DELIVERED,2025-05-02 11:50:07,,True,,True,"Hazardous Materials package weighing 7.31kg, dimensions: 68.2x29.43x33.9cm, volume: 68041.57cm³"
DHL952087592,Standard,DHL,5.95,49.96,26.55,63.32,83990.05,personperson,Nevada,72856,personperson,Kentucky,33313,PackageStatus.DELIVERED,2025-05-06 18:16:36,,False,,False,"Standard package weighing 5.95kg, dimensions: 49.96x26.55x63.32cm, volume: 83990.05cm³"
USP750953662,Fragile,USPS,1.91,61.62,18.03,78.79,87536.37,person personperson,Alaska,95180,person personperson,South Carolina,69563,PackageStatus.EXCEPTION,2025-05-15 20:11:43,,True,2090.73,False,"Fragile package weighing 1.91kg, dimensions: 61.62x18.03x78.79cm, volume: 87536.37cm³"
Fed789182986,Standard,FedEx,24.34,60.92,56.1,29.12,99520.86,personperson,Nevada,08612,personperson,Alaska,12723,PackageStatus.DELIVERED,2025-05-08 02:37:23,,False,4819.06,False,"Standard package weighing 24.34kg, dimensions: 60.92x56.1x29.12cm, volume: 99520.86cm³"
Ama380976287,Express,Amazon Logistics,34.01,60.27,78.92,87.63,416812.83,personperson,Kansas,70616,personperson,West Virginia,98169,PackageStatus.EXCEPTION,2025-05-07 04:06:14,,False,901.04,True,"Express package weighing 34.01kg, dimensions: 60.27x78.92x87.63cm, volume: 416812.83cm³"
DHL64639477,Priority,DHL,0.67,67.15,74.28,22.28,111130.46,personperson,Florida,06882,personperson,Vermont,40715,PackageStatus.IN_TRANSIT,2025-05-14 02:17:23,,False,,True,"Priority package weighing 0.67kg, dimensions: 67.15x74.28x22.28cm, volume: 111130.46cm³"
UPS728218942,International,UPS,1.55,56.05,70.43,31.41,123994.16,personperson,Massachusetts,12778,person person,Florida,69233,PackageStatus.RETURNED,2025-05-16 08:44:41,,False,3829.98,True,"International package weighing 1.55kg, dimensions: 56.05x70.43x31.41cm, volume: 123994.16cm³"
Fed580490706,International,FedEx,9.63,79.1,27.87,93.77,206717.56,personperson,South Carolina,21354,person person,Kentucky,63343,PackageStatus.DELIVERED,2025-05-02 22:01:47,,False,,False,"International package weighing 9.63kg, dimensions: 79.1x27.87x93.77cm, volume: 206717.56cm³"
USP919403142,Refrigerated,USPS,36.65,14.72,24.66,85.85,31163.14,personperson,Montana,57823,person personperson,Tennessee,78948,PackageStatus.IN_TRANSIT,2025-05-16 06:20:56,,True,,False,"Refrigerated package weighing 36.65kg, dimensions: 14.72x24.66x85.85cm, volume: 31163.14cm³"
UPS800108061,Hazardous Materials,UPS,42.36,91.85,77.41,41.5,295069.5,person personperson,Oklahoma,11189,personperson,Rhode Island,94089,PackageStatus.DELIVERED,2025-05-05 17:08:07,,True,3443.36,False,"Hazardous Materials package weighing 42.36kg, dimensions: 91.85x77.41x41.5cm, volume: 295069.5cm³"
USP582880857,Refrigerated,USPS,15.62,19.02,20.66,99.98,39287.46,personperson,Oklahoma,73726,personperson,Idaho,34754,PackageStatus.IN_TRANSIT,2025-05-12 06:37:55,,True,,True,"Refrigerated package weighing 15.62kg, dimensions: 19.02x20.66x99.98cm, volume: 39287.46cm³"
UPS22702109,Express,UPS,14.23,56.76,20.4,30.89,35767.65,person personperson,Maryland,19582,person personperson,Hawaii,72024,PackageStatus.OUT_FOR_DELIVERY,2025-05-12 18:12:31,,False,110.36,False,"Express package weighing 14.23kg, dimensions: 56.76x20.4x30.89cm, volume: 35767.65cm³"
USP645244190,Standard,USPS,30.98,55.29,61.07,92.58,312601.95,personperson,New Jersey,17375,personperson,New Jersey,97817,PackageStatus.OUT_FOR_DELIVERY,2025-05-01 06:01:24,,False,,False,"Standard package weighing 30.98kg, dimensions: 55.29x61.07x92.58cm, volume: 312601.95cm³"
USP14168559,International,USPS,19.38,36.24,83.22,65.94,198867.97,personperson,Massachusetts,36646,personperson,Iowa,78742,PackageStatus.DELIVERED,2025-05-05 15:07:59,,False,,True,"International package weighing 19.38kg, dimensions: 36.24x83.22x65.94cm, volume: 198867.97cm³"
Ama194879750,Fragile,Amazon Logistics,14.43,76.28,57.76,9.07,39961.81,personperson,Minnesota,28850,personperson,Georgia,81570,PackageStatus.OUT_FOR_DELIVERY,2025-05-02 03:50:49,,True,,False,"Fragile package weighing 14.43kg, dimensions: 76.28x57.76x9.07cm, volume: 39961.81cm³"
Ama124317418,Refrigerated,Amazon Logistics,36.02,73.48,75.47,88.79,492388.11,person person,Rhode Island,90043,person personperson,Utah,30537,PackageStatus.IN_TRANSIT,2025-05-10 09:21:20,,True,3879.48,True,"Refrigerated package weighing 36.02kg, dimensions: 73.48x75.47x88.79cm, volume: 492388.11cm³"
Ama822710570,Express,Amazon Logistics,32.67,63.59,88.96,43.06,243588.97,personperson,Colorado,97374,personperson,West Virginia,84242,PackageStatus.DELIVERED,2025-05-17 14:22:51,,False,,False,"Express package weighing 32.67kg, dimensions: 63.59x88.96x43.06cm, volume: 243588.97cm³"
Fed434077936,International,FedEx,7.52,71.44,79.58,99.0,562834.32,person personperson,Illinois,46000,person person,Tennessee,27989,PackageStatus.DELIVERED,2025-05-17 01:26:42,,False,1465.76,False,"International package weighing 7.52kg, dimensions: 71.44x79.58x99.0cm, volume: 562834.32cm³"
USP624031462,Priority,USPS,12.32,8.86,62.49,22.09,12230.38,personperson,New Hampshire,28286,person person,Hawaii,07537,PackageStatus.IN_TRANSIT,2025-05-14 22:59:18,,False,,True,"Priority package weighing 12.32kg, dimensions: 8.86x62.49x22.09cm, volume: 12230.38cm³"
USP297988034,Refrigerated,USPS,41.82,93.47,24.29,49.5,112384.12,person personperson,Maryland,29118,personperson,Missouri,16235,PackageStatus.OUT_FOR_DELIVERY,2025-05-09 12:18:35,,True,,False,"Refrigerated package weighing 41.82kg, dimensions: 93.47x24.29x49.5cm, volume: 112384.12cm³"
